sample_id,stratum,title,author,year,isbn,gr_book_id,gr_work_id,gr_title,gr_author,gr_year,gr_ratings,resolve_method,resolve_confidence,resolve_notes,pages_fetched,quotes_raw,quotes_dedup,fetched_at
top1949:1229,top1949,CUTLASS EMPIRE,F. Van Wyck Mason,1949,,1263363,1252229,Cutlass Empire,F. Van Wyck Mason,1949,31,title_author,high,,0,0,0,2026-08-14T23:55:45
top1950:4286,top1950,STAR MONEY,Kathleen Winsor,1950,,1775060,1773390,Star Money,Kathleen Winsor,1950,58,title_author,high,,1,2,2,2026-08-14T23:55:45
top1950:4518,top1950,THE ADVENTURER,Mika Waltari,1950,,59284,236793,The Adventurer,Mika Waltari,1948,1710,title_author,high,,1,9,1,2026-08-14T23:55:45
top1950:302,top1950,ACROSS THE RIVER AND INTO THE TREES,Ernest Hemingway,1950,0684153130,10778,25300427,Across the River and into the Trees,Ernest Hemingway,1950,12347,isbn,high,,1,29,25,2026-08-14T23:55:45
top1952:5314,top1952,THE GOWN OF GLORY,Agnes Sligh Turnbull,1952,,7973185,1760423,The Gown of Glory,Agnes Sligh Turnbull,1952,126,title_author,high,,0,0,0,2026-08-14T23:55:45
top1952:3138,top1952,MY COUSIN RACHEL,Daphne du Maurier,1952,,18869970,623258,My Cousin Rachel,Daphne du Maurier,1951,73426,title_author,high,,3,67,46,2026-08-14T23:55:45
top1952:4315,top1952,STEAMBOAT GOTHIC,Frances Parkinson Keyes,1952,,843752,829283,Steamboat Gothic,Frances Parkinson Keyes,1952,193,title_author,high,,0,0,0,2026-08-14T23:55:45
top1953:6863,top1953,TIME AND TIME AGAIN,James Hilton,1953,,199203,192706,Time and Time Again,James Hilton,1953,161,title_author,high,,1,2,2,2026-08-14T23:55:45
top1953:2014,top1953,GOLDEN ADMIRAL,Francis Van Wyck Mason,1953,,133611365,1251436,Golden admiral: A novel of Sir Francis Drake and the Armada,F. Van Wyck Mason,1953,33,title_author,high,,0,0,0,2026-08-14T23:55:45
top1953:2590,top1953,"KISS ME AGAIN, STRANGER",Daphne du Maurier,1953,,919029,74007102,"Kiss Me Again, Stranger",Daphne du Maurier,1952,567,title_author,high,,0,0,0,2026-08-14T23:55:45
top1954:2545,top1954,KATHERINE,Anya Seton,1954,9780395081730,33609,2372397,Katherine,Anya Seton,1954,36787,isbn,high,,1,28,27,2026-08-14T23:55:45
top1954:3192,top1954,"NEVER VICTORIOUS, NEVER DEFEATED",Taylor Caldwell,1954,,41044675,2054778,"Never Victorious, Never Defeated: A Novel",Taylor Caldwell,1954,216,title_author,high,,1,2,2,2026-08-14T23:55:45
top1954:6168,top1954,THE ROYAL BOX,Frances Parkinson Keyes,1954,,2234806,2240643,The Royal Box,Frances Parkinson Keyes,1954,115,title_author,high,,1,1,1,2026-08-14T23:55:45
top1956:1497,top1956,DON'T GO NEAR THE WATER,William Brinkley,1956,,1017661,1003785,Don't Go Near the Water,William Brinkley,1956,113,title_author,high,,0,0,0,2026-08-14T23:55:45
top1956:2374,top1956,IMPERIAL WOMAN,Pearl S. Buck,1956,,93521,1610546,Imperial Woman,Pearl S. Buck,1956,9403,title_author,high,,1,19,19,2026-08-14T23:55:45
top1956:5761,top1956,THE MANDARINS,Simone de Beauvoir,1956,,19528,20761,The Mandarins,Simone de Beauvoir,1954,6739,title_author,high,,1,29,26,2026-08-14T23:55:45
top1957:3363,top1957,ON THE BEACH,Nevil Shute,1957,9780899683652,38180,963772,On the Beach,Nevil Shute,1957,51431,isbn,high,,1,28,23,2026-08-14T23:55:45
top1957:6750,top1957,THE WORLD OF SUZIE WONG,Richard Mason,1957,,701773,688078,The World of Suzie Wong,Richard Mason,1957,1291,title_author,high,,0,0,0,2026-08-14T23:55:45
top1957:3758,top1957,REMEMBER ME TO GOD,Myron S. Kaufmann,1957,,2603768,2628414,Remember Me to God,Myron S. Kaufmann,2008,22,title_author,medium,year_off(2008vs1957),0,0,0,2026-08-14T23:55:45
top1958:1484,top1958,DOCTOR ZHIVAGO,Boris Pasternak,1958,,130669514,3288400,Doctor Zhivago By Boris Pasternak -1958- 1st American Edition HC/DJ [Hardcover] Boris Pasternak,Boris Pasternak,1957,105224,title_author,high,,3,89,68,2026-08-14T23:55:45
top1958:2745,top1958,LOLITA,Vladimir Nabokov,1958,0679410430,9216051,1268631,Lolita,Vladimir Nabokov,1955,974319,isbn,high,,1,29,24,2026-08-14T23:55:45
top1958:6715,top1958,THE WINTHROP WOMAN,Anya Seton,1958,,36253,2208750,The Winthrop Woman,Anya Seton,1958,6927,title_author,high,,1,5,5,2026-08-14T23:55:45
top1959:4970,top1959,THE DEVIL'S ADVOCATE,Morris L. West,1959,0688014534,56961,55489,The Devil's Advocate.,Morris L. West,1959,2595,isbn,high,,1,19,19,2026-08-14T23:55:45
top1959:3111,top1959,MRS. ARRIS GOES TO PARIS,Paul Gallico,1959,9780739480397,338670,1427262,Mrs. 'Arris Goes to Paris,Paul Gallico,1958,5811,isbn,high,,1,4,4,2026-08-14T23:55:45
top1959:2619,top1959,LADY CHATTERLY'S LOVER,D.H. Lawrence,1959,0670408123,368966,1338683,John Thomas and Lady Jane: 2,D.H. Lawrence,1954,278,isbn,medium,year_off(1954vs1959),1,1,1,2026-08-14T23:55:45
top1962:6058,top1962,THE PRIZE,Irving Wallace,1962,,478146,689607,The Prize,Irving Wallace,1962,1641,title_author,high,,0,0,0,2026-08-14T23:55:45
top1962:1715,top1962,FAIL-SAFE,Eugene Burdick and Harvey Wheeler,1962,,354259,1458945,Fail-Safe,Eugene Burdick,1962,6104,title_author,high,,1,12,11,2026-08-14T23:55:45
top1962:7404,top1962,YOUNGBLOOD HAWKE,Herman Wouk,1962,,42990,769149,Youngblood Hawke,Herman Wouk,1962,2525,title_author,high,,1,15,14,2026-08-14T23:55:45
top1968:1167,top1968,COUPLES,John Updike,1968,0394420667,11662,1034115,Couples,John Updike,1968,5964,isbn,high,,1,24,24,2026-08-14T23:55:45
top1968:7102,top1968,VANISHED,Fletcher Knebel,1968,,738702,3159373,Vanished,Fletcher Knebel,1968,132,title_author,high,,0,0,0,2026-08-14T23:55:45
top1968:3155,top1968,MYRA BRECKINRIDGE,Gore Vidal,1968,,86036,894788,Myra Breckinridge,Gore Vidal,1968,5387,title_author,high,,1,9,8,2026-08-14T23:55:45
top1976:23,top1976,1876,Gore Vidal,1976,0394497503,88890,2901963,1876,Gore Vidal,1976,3420,isbn,high,,1,2,2,2026-08-14T23:55:45
top1976:1489,top1976,DOLORES,Jacqueline Susann,1976,0688030572,1215381,1447196,Dolores,Jacqueline Susann,1975,1040,isbn,high,,0,0,0,2026-08-14T23:55:45
top1976:4338,top1976,STORM WARNING,Jack Higgins,1976,0030177618,486695,474975,Storm Warning: A Novel,Jack Higgins,1976,3051,isbn,high,,0,0,0,2026-08-14T23:55:45
top1979:6383,top1979,THE STAND,Stephen King,1979,0385121687,87591651,1742269,The Stand,Stephen King,1978,859576,isbn,high,,2,59,52,2026-08-14T23:55:45
top1979:6972,top1979,TRIPLE,Ken Follett,1979,,127799397,1877354,Triple (Signet) by Ken Follett,Ken Follett,1979,22006,title_author,high,,1,11,9,2026-08-14T23:55:45
top1979:4944,top1979,THE DEAD ZONE,Stephen King,1979,0670315419,233667,1803,Firestarter,Stephen King,1980,252236,isbn,high,,1,29,23,2026-08-14T23:55:45
top1983:5671,top1983,THE LITTLE DRUMMER GIRL,John le Carré,1983,0394530152,19003,1129162,The Little Drummer Girl,John le Carré,1983,17288,isbn,high,,2,35,33,2026-08-14T23:55:45
top1983:3506,top1983,PET SEMATARY,Stephen King,1983,0385182449,33124137,150017,Pet Sematary,Stephen King,1983,728438,isbn,high,,1,28,25,2026-08-14T23:55:45
top1983:1047,top1983,CHRISTINE,Stephen King,1983,0670220264,10629,1150571,Christine,Stephen King,1983,269571,isbn,high,,1,29,25,2026-08-14T23:55:45
top1984:5352,top1984,THE HAJ,Leon Uris,1984,0385034598,42691,798555,The Haj,Leon Uris,1984,14607,isbn,high,,1,7,7,2026-08-14T23:55:45
top1984:6293,top1984,THE SICILIAN,Mario Puzo,1984,0671435647,22026,812174,The Sicilian,Mario Puzo,1984,32556,isbn,high,,1,29,25,2026-08-14T23:55:45
top1984:6462,top1984,THE TALISMAN,Stephen King and Peter Straub,1984,,244838081,3324421,The Talisman,Stephen King,1984,147200,title_author,high,,1,27,22,2026-08-14T23:55:45
top1988:352,top1988,ALASKA,James A. Michener,1988,0394569814,42953,1987481,Alaska,James A. Michener,1988,17518,isbn,high,,1,25,25,2026-08-14T23:55:45
top1988:831,top1988,BREATHING LESSONS,Anne Tyler,1988,,123646012,3766822,Breathing Lessons by Anne Tyler,Anne Tyler,1988,34420,title_author,high,,2,38,32,2026-08-14T23:55:45
top1988:5454,top1988,THE ICARUS AGENDA,Robert Ludlum,1988,0394543971,573201,41691,The Icarus Agenda,Robert Ludlum,1988,32171,isbn,high,,1,1,1,2026-08-14T23:55:45
top1990:4003,top1990,SEPTEMBER,Rosamunde Pilcher,1990,0312044194,116053,6958004,September,Rosamunde Pilcher,1990,26753,isbn,high,,1,29,13,2026-08-14T23:55:45
top1990:4708,top1990,THE BOURNE ULTIMATUM,Robert Ludlum,1990,0394584082,31259,31538,The Bourne Ultimatum,Robert Ludlum,1990,67976,isbn,high,,1,3,3,2026-08-14T23:55:45
top1990:2956,top1990,MEMORIES OF MIDNIGHT,Sidney Sheldon,1990,0688084885,106648,2324921,Memories of Midnight,Sidney Sheldon,1990,21069,isbn,high,,1,14,12,2026-08-14T23:55:45
top1992:7158,top1992,WAITING TO EXHALE,Terry McMillan,1992,,131318124,806956,"Waiting to Exhale by McMillan, Terry. (Pocket,2001) [Mass Market Paperback]",Terry McMillan,1992,18497,title_author,high,,1,3,3,2026-08-14T23:55:45
top1992:1979,top1992,GERALD'S GAME,Stephen King,1992,0670846503,32692,4847031,Gerald's Game,Stephen King,1992,183369,isbn,high,,1,29,25,2026-08-14T23:55:45
top1992:3894,top1992,SABINE'S NOTEBOOK,Nick Bantock,1992,0811801802,85730,981141,Sabine's Notebook,Nick Bantock,1992,11392,isbn,high,,1,4,4,2026-08-14T23:55:45
