quote_id,sample_id,gr_work_id,page,idx,source_url,quote_text,bucket,tense,note
q01901,top2009:1323,5228078,2,7,https://www.goodreads.com/work/quotes/5228078?page=2,"I shook my head. My mind was wandering too far afield. All that might happen. A serial killer might be thinking of where his victims were buried just at the moment I was listening to his thoughts. But in my extensive experience, people seldom thought, “Yes, I buried that body at 1218 Clover Drive under the rosebush,” or, “That money I stole sure is safe in my bank account numbered 12345 in the Switzerland National Bank.” Much less, “I’m plotting to blow up the XYZ building on May 4, and my six confederates are . . .",,,
q01902,top2009:1323,5228078,2,8,https://www.goodreads.com/work/quotes/5228078?page=2,"Though I knew I wasn’t a deep theological thinker, I sometimes wondered if crisis moments in my life hadn’t come down to two choices: be a bad Christian or die. I’d chosen life every time.",,,
q01903,top2009:1323,5228078,2,9,https://www.goodreads.com/work/quotes/5228078?page=2,"In the gathering dusk, I drove to Merlotte’s. I saw a coyote on the way. Usually they were too clever to be seen, but this one was trotting along the side of the road as if he had an appointment in town. Maybe it was really a coyote, or maybe it was a person in another form. When I considered the possums and coons and the occasional armadillo I saw squashed by the road every morning, I wondered how many werecreatures had gotten killed in their animal forms in such careless ways. Maybe some of the bodies the police labeled murder victims were actually people killed by accident in their alternate form. I remembered all animal traces had vanished from Crystal’s body when she’d been taken down from the cross, after the nails had been removed. I was willing to bet those nails had been silver. There was so much I didn’t know.",,,
q01904,top2009:1323,5228078,2,10,https://www.goodreads.com/work/quotes/5228078?page=2,"I haven’t yet discussed with you all my memories of the time we spent together when you were hiding me at your house. Do you know why I ended up so close to your home, running down that road in the freezing cold?” His question was so unexpected that I was struck silent. I wasn’t sure I wanted to know the answer. But finally I said, “No, I don’t.” “The curse contained within the witch, the curse that activated when Clancy killed her . . . it was that I would be close to my heart’s desire without ever realizing it. A terrible curse and one that Hallow must have constructed with great subtlety. We found it dog-eared in her spell book.",,,
q01905,top2009:1323,5228078,2,11,https://www.goodreads.com/work/quotes/5228078?page=2,I felt a flash of disappointment that fairy tales didn’t come true. I wondered if my fairy great-grandfather had ever heard one of what we thought of as a fairy tale. Did fairy parents tell fairy children human tales? I was willing to bet they didn’t.,,,
q01906,top2009:1323,5228078,2,12,https://www.goodreads.com/work/quotes/5228078?page=2,"It happened not long after Aude’s death,” he said. “I missed her, you see, and I needed someone to raise the children. No such thing as a househusband then.” He laughed. “I had to go raiding. I had to be sure the slaves were doing what they ought in the fields. So I needed another wife. One night I went to visit the family of a young woman I hoped would marry me. She lived a mile or two away. I had some worldly goods, and my father was a chief, and I was thought a handsome man and was a noted fighter, so I was a good prospect. Her brothers and her father were glad to greet me, and she seemed . . . agreeable. I was trying to get to know her a bit. It was a good evening. I had high hopes. But I had a lot to drink there, and on my way home that night . . .” Eric paused, and I saw his chest move. In remembering his last moments as a human, he had actually taken a deep breath. “It was the full moon. I saw a man lying hurt by the side of the road. Ordinarily I would have looked around to find those who had attacked him, but I was drunk. I went over to help him; you can probably guess what happened after that.” “He wasn’t really hurt.” “No. But I was, soon after. He was very hungry. His name was Appius Livius Ocella.” Eric actually smiled, though without much humor. “He taught me many things, and the first was not to call him Appius. He said I didn’t know him well enough.",,,
q01907,top2009:1323,5228078,2,13,https://www.goodreads.com/work/quotes/5228078?page=2,"How old were you when you got married? Did you have children?” I knew Eric had been married, but I didn’t know anything else about his life. “I was counted a man at twelve,” he said. “I married at sixteen. My wife’s name was Aude. Aude had . . . we had . . . six children.” I held my breath. I could tell he was looking down the immense swell of time that had passed between his present—a bar in Shreveport, Louisiana—and his past—a woman dead for a thousand years.",,,
q01908,top2009:1323,5228078,2,15,https://www.goodreads.com/work/quotes/5228078?page=2,"Now that you and Eric are openly pledged,” Victor said in a silky voice, “you certainly won’t want to see Quinn, and I’ll tell him so.” “We’re what?” I glared at Eric, who was looking at me with an expression I can only describe as bland. “The knife,” Victor said, sounding even happier. “That’s its significance. It’s a ritual knife handed down over the centuries and used in important ceremonies and sacrifices. It’s not the only one of its kind, of course, but it’s rare. Now it’s only used in marriage rituals. I’m not sure how Eric came to have possession of it, but its presentation from you to Eric, and his acceptance, can only mean that you and Eric are pledged to each other.",,,
q01909,top2009:1323,5228078,2,16,https://www.goodreads.com/work/quotes/5228078?page=2,"She gave me a get-along pat on the back and turned to answer a tourist’s question about how often vampires needed to get their teeth cleaned. “Would you like to come very close and look at mine?” Pam asked in a sultry voice, and the woman shrieked with delighted fear. That was why the humans came to vampire bars, and vampire comedy clubs, and vampire dry cleaners, and vampire casinos . . . to flirt with danger.",,,
q01910,top2009:1323,5228078,2,17,https://www.goodreads.com/work/quotes/5228078?page=2,"Two nights before, many people had discovered that someone they knew personally was a were of some kind. Hopefully, if the were had never shown signs of insanity or violence, these people would be willing to accept that shape-changing was an unthreatening addition to their knowledge of the world. It was even exciting.",,,
q01911,top2009:1323,5228078,2,18,https://www.goodreads.com/work/quotes/5228078?page=2,"Here,” he said, and I turned around, irritated. “Eric said you would need this.” He handed me a bundle wrapped in black velvet. Vampires couldn’t give you anything in a Wal-Mart bag or wrapped in Hallmark paper, oh, no. Black velvet.",,,
q01912,top2009:1323,5228078,2,19,https://www.goodreads.com/work/quotes/5228078?page=2,Eric: I am too big for some.Sookie: Bring it on.,,,
q01913,top2009:1323,5228078,2,20,https://www.goodreads.com/work/quotes/5228078?page=2,"Today was going to be a hard day, and I always felt better when I was dressed while handling a crisis. Something about putting on my underwear makes me feel more capable.",,,
q01914,top2009:1323,5228078,2,24,https://www.goodreads.com/work/quotes/5228078?page=2,Then my great-grandfather was gone before I could ask him which vampire he meant.,,,
q01915,top2009:1323,5228078,2,25,https://www.goodreads.com/work/quotes/5228078?page=2,"This is a work of fiction. Names, characters, places, and incidents either are the product of the author’s imagination or are used fictitiously, and any resemblance to actual persons, living or dead, business establishments, events, or locales is entirely coincidental. The publisher does not have any control over and does not assume any responsibility for author or third-party websites or their content.",,,
q01916,top2009:5611,6588800,1,0,https://www.goodreads.com/work/quotes/6588800,"Sometimes you have to be apart from people you love, but that doesn't make you love them any less. Sometimes you love them more.",,,
q01917,top2009:5611,6588800,1,1,https://www.goodreads.com/work/quotes/6588800,"Mom says it's because she has PMS.Do you even know what that means?""I'm not a little kid anymore. It means pissed-at- men syndrome",,,
q01918,top2009:5611,6588800,1,2,https://www.goodreads.com/work/quotes/6588800,"I mean, if the relationship can't survive the long term, why on earth would it be worth my time and energy for the short term?",,,
q01919,top2009:5611,6588800,1,3,https://www.goodreads.com/work/quotes/6588800,"Life, he realize, was much like a song. In the beginning there is mystery, in the end there is confirmation, but it's in the middle where all the emotion resides to make the whole thing worthwhile.",,,
q01920,top2009:5611,6588800,1,4,https://www.goodreads.com/work/quotes/6588800,Truth only means something when it's hard to admit.,,,
q01921,top2009:5611,6588800,1,5,https://www.goodreads.com/work/quotes/6588800,"I have faith that God will show you the answer. But you have to understand that sometimes it takes a while to be able to recognize what God wants you to do. That's how it often is. God's voice is usually nothing more than a whisper, and you have to listen very carefully to hear it. But other times, in those rarest of moments, the answer is obvious and rings as loud as a church bell.",,,
q01922,top2009:5611,6588800,1,6,https://www.goodreads.com/work/quotes/6588800,you have to love something before you can hate it.,,,
q01923,top2009:5611,6588800,1,7,https://www.goodreads.com/work/quotes/6588800,"Do you want a cookie?- What?- A cookie. Like an Oreo. Do you want one?- No.- How can you not want a cookie?- I just don't.- Okay, fine,let's say you did want a cookie. Let's say you were dying for a cookie, and there were cookies in the cupboard. What would you do?- I'd eat a cookie?- Exactly. That's all I'm saying.- What are you saying?- That if people want cookies, they should get a cookie. It's what people do.- Let me guess. Dad won't let you have acookie?- No. Even though I'm practically starving to death, he won't even consider it. He says I have to have a sandwich first.- And you don't think that's fair.- You just said you'd get a cookie if you wanted one. So why can't I? I'm not a little kid. I can make my own decisions.- Hmm. I can see why this bothers you somuch.- It's not fair. If he wants a cookie, he can have one. If you want a cookie,you can have one. But if I want a cookie, the rules don't count. Like yousaid, it's not fair.- So what are you going to do?- I'm going to eat a sandwich. Because I have to. Because the world isn't fairto ten-year-olds.",,,
q01924,top2009:5611,6588800,1,8,https://www.goodreads.com/work/quotes/6588800,In the end you should always do the right thing even if it's hard.,,,
q01925,top2009:5611,6588800,1,9,https://www.goodreads.com/work/quotes/6588800,"He stared at her, knowing with certainty that he was falling in love. He pulled her close and kissed her beneath a blanket of stars, wondering how on earth he'd been lucky enough to find her.",,,
q01926,top2009:5611,6588800,1,10,https://www.goodreads.com/work/quotes/6588800,He was ordinary in a world that loved the extraordinary.,,,
q01927,top2009:5611,6588800,1,11,https://www.goodreads.com/work/quotes/6588800,"Emotions come and go and can't be controlled so there's no reason to worry about them. That in the end, people should be judged by their actions since in the end it was actions that defined everyone.",,,
q01928,top2009:5611,6588800,1,12,https://www.goodreads.com/work/quotes/6588800,He liked her; it was as simple as that.,,,
q01929,top2009:5611,6588800,1,13,https://www.goodreads.com/work/quotes/6588800,The pieces all fit together. Yet everything was falling apart.,,,
q01930,top2009:5611,6588800,1,14,https://www.goodreads.com/work/quotes/6588800,"She was a stranger now, but she'd been a friend once, and that was enough for him.",,,
q01931,top2009:5611,6588800,1,15,https://www.goodreads.com/work/quotes/6588800,"In a lifetime of mistakes, you two are the greatest things that have ever happened to me.",,,
q01932,top2009:5611,6588800,1,16,https://www.goodreads.com/work/quotes/6588800,"Never forget that God is your friend. And like all friends, He longs to hear what's been happening in your life. Good or bad, whether it's been full of sorrow or anger, or even when you're questioning why terrible things have to happen.",,,
q01933,top2009:5611,6588800,1,17,https://www.goodreads.com/work/quotes/6588800,"I’m stuck babysitting turtle eggs while a volleyball player slash grease monkey slash aquarium volunteer tries to hit on me.” I’m not hitting on you,” he protested.No?”Believe me, you’d know if I was hitting on you. You wouldn’t be able to stop yourself from succumbing to my charms.",,,
q01934,top2009:5611,6588800,1,18,https://www.goodreads.com/work/quotes/6588800,"I call it God Light, because it reminds me of heaven. Every time the light shines through the window we built or any window at all, you'll know I'm right there with you, okay? That's going to be me. I'll be the light in the window.",,,
q01935,top2009:5611,6588800,1,19,https://www.goodreads.com/work/quotes/6588800,Love is fragile. And we're not always its best caretakers. We just muddle through and do the best we can. And hope this fragile thing survives against all odds.,,,
q01936,top2009:5611,6588800,1,20,https://www.goodreads.com/work/quotes/6588800,"A story about family, first loves, second chances, and the moments in life that leads you back home",,,
q01937,top2009:5611,6588800,1,21,https://www.goodreads.com/work/quotes/6588800,"As far as I can tell, dumping soda on people is the equivalent of ‘Hi, it’s nice to meet you’ in this part of the world. Frankly, I think standard greetings work better, but what do I know?",,,
q01938,top2009:5611,6588800,1,22,https://www.goodreads.com/work/quotes/6588800,People didn't change. they liked what they liked even if they didn't understand why.,,,
q01939,top2009:5611,6588800,1,23,https://www.goodreads.com/work/quotes/6588800,"There are guys who grow up thinking they'll settle down some distant time in the future, and there are guys who are ready for marriage as soon as they meet the right person. The former bore me, mainly because they're pathetic; and the latter, frankly are hard to find.",,,
q01940,top2009:5611,6588800,1,24,https://www.goodreads.com/work/quotes/6588800,"God, he suddenly understood, was love in its purest form, and in these last months with his children, he had felt His touch as surely as he had heard the music spilling from Ronnie's hands.",,,
q01941,top2009:5611,6588800,1,25,https://www.goodreads.com/work/quotes/6588800,"When I was seventeen, I don't think I even knew what love was. But when it's right, it's right, and you just know it.",,,
q01942,top2009:5611,6588800,1,26,https://www.goodreads.com/work/quotes/6588800,"Change not only was inevitable, but usually brought its own rewards.",,,
q01943,top2009:5611,6588800,1,27,https://www.goodreads.com/work/quotes/6588800,"At times, he even admitted that he'd been more an observer of the world than a participant in it...",,,
q01944,top2009:5611,6588800,1,28,https://www.goodreads.com/work/quotes/6588800,"Wait. Let me guess. You’re giving me the cold shoulder, right?”With that, she sighed. “Shouldn’t you be with your friends, staring at yourselves in the mirror?”He laughed. “That’s funny. I’ll have to remember that.”“I’m not being funny. I’m being serious.”“Oh, because we’re so good-looking",,,
