sample_id,stratum,title,author,year,isbn,gr_book_id,gr_work_id,gr_title,gr_author,gr_year,gr_ratings,resolve_method,resolve_confidence,resolve_notes,pages_fetched,quotes_raw,quotes_dedup,fetched_at
top1940:3120,top1940,MRS. MINIVER,Jan Struther,1940,,60643589,1108185,Mrs. Miniver by Jan Struther: A Heartfelt Portrait of Everyday Life and Resilience,Jan Struther,1939,2074,title_author,high,,2,49,44,2026-08-13T21:33:57
top1940:1886,top1940,FOR WHOM THE BELL TOLLS,Ernest Hemingway,1940,0684803356,46170,2252079,For Whom the Bell Tolls,Ernest Hemingway,1940,326179,isbn,high,,3,89,70,2026-08-13T21:33:57
top1941:5530,top1941,THE KEYS OF THE KINGDOM,A. J. Cronin,1941,,184803,2429749,The Keys of the Kingdom,A.J. Cronin,1941,3761,title_author,high,,1,13,12,2026-08-13T21:33:57
top1941:6439,top1941,THE SUN IS MY UNDOING,Marguerite Steen,1941,,232741752,433186,"The sun is my undoing, by Marguerite Steen",Marguerite Steen,1941,83,title_author,high,,0,0,0,2026-08-13T21:33:57
top1941:3715,top1941,RANDOM HARVEST,James Hilton,1941,,153279627,6860,"Random Harvest by James Hilton: A Heartwarming Tale of Love, Memory, and Redemption",James Hilton,1941,2417,title_author,high,,1,10,10,2026-08-13T21:33:57
top1942:6157,top1942,THE ROBE,Lloyd C. Douglas,1942,,60395731,467637,The Robe by Lloyd C. Douglas: A Tale of Redemption and Spiritual Awakening,Lloyd C. Douglas,1942,27636,title_author,high,,1,28,22,2026-08-13T21:33:57
top1942:6594,top1942,THE VALLEY OF DECISION,Marcia Davenport,1942,,136456,131509,The Valley Of Decision,Marcia Davenport,1942,527,title_author,high,,0,0,0,2026-08-13T21:33:57
top1942:6355,top1942,THE SONG OF BERNADETTE,Franz Werfel,1942,,234722022,249846164,the Song of Bernadette,Franz Werfel,,0,title_author,medium,low_ratings,0,0,0,2026-08-13T21:33:57
top1943:263,top1943,A TREE GROWS IN BROOKLYN,Betty Smith,1943,,148061217,833257,A Tree Grows In Brooklyn by Betty Smith,Betty Smith,1943,530568,title_author,high,,3,89,74,2026-08-13T21:33:57
top1943:4179,top1943,SO LITTLE TIME,John P. Marquand,1943,,1069159,1055830,So Little Time,John P. Marquand,1943,69,title_author,high,,0,0,0,2026-08-13T21:33:57
top1943:4559,top1943,THE APOSTLE,Sholem Asch,1943,9997406265,628995,2158407,The Apostle,Sholem Asch,1939,106,isbn,medium,year_off(1939vs1943),1,4,4,2026-08-13T21:33:57
top1944:1896,top1944,FOREVER AMBER,Kathleen Winsor,1944,,22012574,2522906,Forever Amber / Kathleen Winsor,Kathleen Winsor,1944,19943,title_author,high,,1,9,9,2026-08-13T21:33:57
top1944:4344,top1944,STRANGE FRUIT,Lillian Smith,1944,,163686658,801643,Strange Fruit,Lillian E. Smith,1944,1101,title_author,high,,1,10,9,2026-08-13T21:33:57
top1944:1589,top1944,EARTH AND HIGH HEAVEN,Gwenthalyn Graham,1944,,,,,,,0,failed,review,no_candidate,0,0,0,2026-08-13T21:33:57
