quote_id,sample_id,gr_work_id,page,idx,source_url,quote_text,bucket,tense,note
q00056,top1937:3337,40283,1,7,https://www.goodreads.com/work/quotes/40283,"Just like heaven. Ever’body wants a little piece of lan’. I read plenty of books out here. Nobody never gets to heaven, and nobody gets no land. It’s just in their head. They’re all the time talkin’ about it, but it’s jus’ in their head.",,,
q00057,top1937:3337,40283,1,8,https://www.goodreads.com/work/quotes/40283,"We know what we got, and we don't care whether you know it or not.",,,
q00058,top1937:3337,40283,1,9,https://www.goodreads.com/work/quotes/40283,"I can still tend the rabbits, George? I didn't mean no harm, George.",,,
q00059,top1937:3337,40283,1,10,https://www.goodreads.com/work/quotes/40283,"In every bit of honest writing in the world, there is a base theme. Try to understand men, if you understand each other you will be kind to each other. KNOWING A MAN WELL NEVER LEADS TO HATE and nearly always leads to love. There are shorter means, many of them. There is writing promoting social change, writing punishing injustice, writing in celebration of heroism, but always that base theme. TRY TO UNDERSTAND EACH OTHER!",,,
q00060,top1937:3337,40283,1,12,https://www.goodreads.com/work/quotes/40283,"I ought to of shot that dog myself, George. I shouldn't ought to of let no stranger shoot my dog.",,,
q00061,top1937:3337,40283,1,13,https://www.goodreads.com/work/quotes/40283,We could live offa the fatta the lan'.,,,
q00062,top1937:3337,40283,1,14,https://www.goodreads.com/work/quotes/40283,"George's voice became deeper. He repeated his words rhythmically as though he had said them many times before. 'Guys like us, that work on ranches, are the loneliest guys in the world. They got no family. They don't belong no place. They come to a ranch an' work up a stake, and the first thing you know they're poundin' their tail on some other ranch. They ain't got nothing to look ahead to.",,,
q00063,top1937:3337,40283,1,15,https://www.goodreads.com/work/quotes/40283,Guys like us got nothing to look ahead to.,,,
q00064,top1937:3337,40283,1,16,https://www.goodreads.com/work/quotes/40283,"Lennie begged, ""Le's do it now. Le's get that place now."" ""Sure right now. I gotta. We gotta.",,,
q00065,top1937:3337,40283,1,17,https://www.goodreads.com/work/quotes/40283,"I ain't got no people. I seen the guys that go around on the ranches alone. That ain't no good. They don't have no fun. After a long time they get mean. They get wantin' to fight all the time. . . 'Course Lennie's a God damn nuisance most of the time, but you get used to goin' around with a guy an' you can't get rid of him.",,,
q00066,top1937:3337,40283,1,18,https://www.goodreads.com/work/quotes/40283,At about 10 o'clock in the morning the sun threw a bright dust-laden bar through one of the side windows and in and out of the beam flies shot like rushing stars.,,,
